ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;Partido gobierno autonomico;gobierno_auto;gobierno_central;
AND;1; García Bueno, María del Carmen;Podemos Andalucía;PODEMOS;SEVILLA;X; ;;;marigarci62;;PSOE;0;0;
AND;1; García Carrasco, Catalina Montserrat;Popular Andaluz;PP;JAÉN;X; ;;;LinaGarciaPP;;PSOE;0;1;
AND;0; García Hueso, Amós;Popular Andaluz;PP;ALMERÍA;X; ;;;AmosGhueso;;PSOE;0;1;
AND;1; García Jiménez, Ana Vanessa;Popular Andaluz;PP;GRANADA;X; ;;;anavanegarcia;;PSOE;0;1;
AND;0; García de Longoria Menduiña, Guillermo José;Popular Andaluz;PP;HUELVA;X; ;;;garciadlongoria;;PSOE;0;1;
AND;0; Garrido Moraga, Antonio Manuel;Popular Andaluz;PP;MÁLAGA;X; ;;;;;PSOE;0;1;
AND;0; Gil de los Santos, Juan Antonio;Podemos Andalucía;PODEMOS;MÁLAGA;X; ;;;juangilpodemos;;PSOE;0;0;
AND;1; Gómez Corona, Esperanza;Podemos Andalucía;PODEMOS;MÁLAGA;X;Portavoz Adjunta ;;;GC_Esperanza;;PSOE;0;0;
AND;0; Gómez Domínguez, Carmelo;Socialista;PSOE;SEVILLA;X; ;;;CarmeloGmez;;PSOE;1;0;
AND;0; González Rivera, Manuel Andrés;Popular Andaluz;PP;HUELVA;X;Portavoz Adjunto ;;;Magonzalezlepe;;PSOE;0;1;
AND;1; Gutiérrez Valero, Begoña María;Podemos Andalucía;PODEMOS;SEVILLA;X; ;;;BegoPodemos;;PSOE;0;0;
AND;0; Hernández White, Carlos;Ciudadanos;CIUDADANOS;MÁLAGA;X; ;;;whcarlos;;PSOE;0;0;
AND;0; Jiménez Barrios, Manuel;Socialista;PSOE;CÁDIZ;X; ;;;;;PSOE;1;0;
AND;0; Jiménez Díaz, Mario Jesús;Socialista;PSOE;HUELVA;X;Presidente y Portavoz de Grupo Parlamentario ;;;mariojimenez;;PSOE;1;0;
AND;1; Jiménez Vílchez, María Teresa;Socialista;PSOE;GRANADA;X;Vicepresidenta Primera Mesa parlamento;;;teresajimenez64;;PSOE;1;0;
AND;0; Latorre Ruiz, José;Socialista;PSOE;JAÉN;X; ;;;JOSELARU;;PSOE;1;0;
AND;1; Lizárraga Mollinedo, María del Carmen;Podemos Andalucía;PODEMOS;GRANADA;X;Portavoz Adjunta ;;;LizarragaC_;;PSOE;0;0;
AND;1; López Martínez, Caridad;Socialista;PSOE;ALMERÍA;X; ;;;caridadbono;;PSOE;1;0;
AND;1; Maese Villacampa, Araceli;Socialista;PSOE;CÁDIZ;X; ;;;aramaese;;PSOE;1;0;
AND;0; Maíllo Cañadas, Antonio;Izquierda Unida Los Verdes-Convocatoria por Andalucía;IULV-CA;SEVILLA;X;Portavoz ;;;MailloAntonio;;PSOE;0;0;
AND;1; Manzano Pérez, Olga;Socialista;PSOE;GRANADA;X; ;;;OlgaManPer;;PSOE;1;0;
AND;0; Marín Lozano, Juan Antonio;Ciudadanos;CIUDADANOS;SEVILLA;X;Presidente y Portavoz de Grupo Parlamentario ;;;juanmarin_cs;;PSOE;0;0;
AND;1; Márquez Romero, María;Socialista;PSOE;HUELVA;X; ;;;MariaMarquez88;;PSOE;1;0;
AND;1; Martín Moya, Aránzazu;Popular Andaluz;PP;ALMERÍA;X; ;;;aranchamartinpp;;PSOE;0;1;
AND;1; Martínez Martín, Alicia;Popular Andaluz;PP;SEVILLA;X; ;;;alicia_mm;;PSOE;0;1;
AND;1; Mestre García, Ana María;Popular Andaluz;PP;CÁDIZ;X; ;;;AnaMestrePP;;PSOE;0;1;
AND;0; Millán Muñoz, Julio;Socialista;PSOE;JAÉN;X; ;;;Juliomillanjaen;;PSOE;1;0;
AND;0; Miranda Aranda, José Antonio;Popular Andaluz;PP;JAÉN;X; ;;;jamiranda_a;;PSOE;0;1;
AND;1; Molina Cañadas, María Carmen;Podemos Andalucía;PODEMOS;MÁLAGA;X; ;;;CarmenMolina_Q;;PSOE;0;0;
AND;0; Molina Rascón, Adolfo Manuel;Popular Andaluz;PP;CÓRDOBA;X; ;;;marifrangr;;PSOE;0;1;
AND;1; Montero Cuadrado, María Jesús;Socialista;PSOE;SEVILLA;X; ;;;mjmonteroc;;PSOE;1;0;
AND;0; Moreno Bonilla, Juan Manuel;Popular Andaluz;PP;MÁLAGA;X;Presidente y Portavoz de Grupo Parlamentario ;;;JuanMa_Moreno;;PSOE;0;1;
AND;0; Moreno de Acevedo Yagüe, Juan Ignacio;Podemos Andalucía;PODEMOS;SEVILLA;X;Vicepresidente tercero Mesa parlamento;;;hackbogado;;PSOE;0;0;
AND;0; Moscoso Sánchez, David Jesús;Podemos Andalucía;PODEMOS;CÓRDOBA;X;Secretario General Grupo Parlamentario ;;;_davidmoscoso;;PSOE;0;0;
AND;0; Muñoz Madrid, Jacinto;Popular Andaluz;PP;CÁDIZ;X; ;;;jacintomunozma;;PSOE;0;1;
AND;0; Muñoz Sánchez, José;Socialista;PSOE;SEVILLA;X;Secretario General Grupo Parlamentario y Portavoz Adjunto ;;;pepemsanchez;;PSOE;1;0;
AND;1; Navarro Pérez, Patricia;Popular Andaluz;PP;MÁLAGA;X; ;;;Navarro_PP;;PSOE;0;1;
AND;1; Nieto Castro, Inmaculada;Izquierda Unida Los Verdes-Convocatoria por Andalucía;IULV-CA;CÁDIZ;X;Portavoz Adjunta ;;;InmaNietoC;;PSOE;0;0;
