"","name","proportion_male"
"676","Azrael",0.7917
"677","azucena",0
"678","Azucena",0
"679","Azul",0.0094
"680","azul",0.0094
"681","Baby",0.4971
"682","Bae",0
"683","Balal",1
"684","Balbina",0
"685","Baldo",1
"686","BALDO",1
"687","Baldomero",1
"688","Baltasar",1
"689","Bana",0
"690","BaNe",1
"691","Baptiste",1
"692","Bar",0.3507
"693","Baraka",1
"694","Barbara",0
"695","barbara",0
"696","Bardo",1
"697","Bari",0
"698","Barney",1
"699","Baron",1
"700","Barret",0.9777
"701","Barry",1
"702","barry",1
"703","Bart",1
"704","bart",1
"705","Bartlomiej",1
"706","Bartolo",1
"707","Bartolome",1
"708","bartolome",1
"709","Barton",1
"710","Basil",0.9159
"711","Basilio",1
"712","basilio",1
"713","Batu",1
"714","Bautista",1
"715","Bea",0
"716","bea",0
"717","Beatrice",0
"718","Beatriz",0
"719","beatriz",0
"720","BEATRIZ",0
"721","Becker",1
"722","Becky",0
"723","bee",1
"724","Beka",1
"725","Belem",0
"726","Belen",0.0051
"727","belen",0.0051
"728","Belinda",0
"729","Bella",8e-04
"730","bella",8e-04
"731","Belle",0
"732","Ben",1
"733","BEN",1
"734","Bena",0
"735","Benedict",1
"736","Benedicto",1
"737","Benet",0.5894
"738","benet",0.5894
"739","Beni",1
"740","Benigno",1
"741","benigno",1
"742","Benito",1
"743","benito",1
"744","Benjamin",0.9982
"745","BENJAMIN",0.9982
"746","Benji",1
"747","Beno",1
"748","Benson",1
"749","Beny",1
"750","ber",1
"751","Berenice",0
"752","Berk",1
"753","Berlin",0.0671
"754","Berlinda",0
"755","bernabe",1
"756","Bernabe",1
"757","Bernard",1
"758","bernard",1
"759","Bernardino",1
"760","bernardino",1
"761","bernardo",1
"762","Bernardo",1
"763","BERNARDO",1
"764","Bernie",1
"765","Berry",0.9085
"766","Berta",0
"767","berta",0
"768","BERTA",0
"769","Bertrand",1
"770","bertrand",1
"771","Beth",0
"772","Beto",1
"773","Bettina",0
"774","Betty",0
"775","Bibi",0
"776","BIBI",0
"777","bibi",0
"778","Bibiana",0
"779","Biel",1
"780","biel",1
"781","BIEL",1
"782","Bielka",0
"783","Bienvenido",1
"784","bienvenido",1
"785","Bilal",0.9971
"786","bilal",0.9971
"787","Bill",1
"788","billi",0.0528
"789","Billy",0.9921
"790","BILLY",0.9921
"791","Bilma",0
"792","bita",0
"793","Bjorn",1
"794","BLADE",1
"795","Bladimir",1
"796","Blanca",0
"797","blanca",0
"798","BLANCA",0
"799","Blas",1
"800","BLAS",1
"801","blas",1
"802","Blessed",0.291
"803","Blue",0.6784
"804","Bob",1
