ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;;
AND;0; Funes Arjona, José Antonio;Ciudadanos;CIUDADANOS;GRANADA;X; ;;;joseafunes_;;;
AND;0; García Anguita, Miguel Ángel;Popular Andaluz;PP;JAÉN;X; ;;;GarciaAnguita;;;
AND;1; García Bueno, María del Carmen;Podemos Andalucía;PODEMOS;SEVILLA;X; ;;;marigarci62;;;
AND;1; García Carrasco, Catalina Montserrat;Popular Andaluz;PP;JAÉN;X; ;;;LinaGarciaPP;;;
AND;0; García Hueso, Amós;Popular Andaluz;PP;ALMERÍA;X; ;;;AmosGhueso;;;
AND;1; García Jiménez, Ana Vanessa;Popular Andaluz;PP;GRANADA;X; ;;;anavanegarcia;;;
AND;0; García de Longoria Menduiña, Guillermo José;Popular Andaluz;PP;HUELVA;X; ;;;garciadlongoria;;;
AND;0; Garrido Moraga, Antonio Manuel;Popular Andaluz;PP;MÁLAGA;X; ;;;;;;
AND;0; Gil de los Santos, Juan Antonio;Podemos Andalucía;PODEMOS;MÁLAGA;X; ;;;juangilpodemos;;;
AND;1; Gómez Corona, Esperanza;Podemos Andalucía;PODEMOS;MÁLAGA;X;Portavoz Adjunta ;;;GC_Esperanza;;;
AND;0; Gómez Domínguez, Carmelo;Socialista;PSOE;SEVILLA;X; ;;;CarmeloGmez;;;
AND;0; González Rivera, Manuel Andrés;Popular Andaluz;PP;HUELVA;X;Portavoz Adjunto ;;;Magonzalezlepe;;;
AND;1; Gutiérrez Valero, Begoña María;Podemos Andalucía;PODEMOS;SEVILLA;X; ;;;BegoPodemos;;;
AND;0; Hernández White, Carlos;Ciudadanos;CIUDADANOS;MÁLAGA;X; ;;;whcarlos;;;
AND;0; Jiménez Barrios, Manuel;Socialista;PSOE;CÁDIZ;X; ;;;;;;
AND;0; Jiménez Díaz, Mario Jesús;Socialista;PSOE;HUELVA;X;Presidente y Portavoz de Grupo Parlamentario ;;;mariojimenez;;;
AND;1; Jiménez Vílchez, María Teresa;Socialista;PSOE;GRANADA;X;Vicepresidenta Primera Mesa parlamento;;;teresajimenez64;;;
AND;0; Latorre Ruiz, José;Socialista;PSOE;JAÉN;X; ;;;JOSELARU;;;
AND;1; Lizárraga Mollinedo, María del Carmen;Podemos Andalucía;PODEMOS;GRANADA;X;Portavoz Adjunta ;;;LizarragaC_;;;
AND;1; López Martínez, Caridad;Socialista;PSOE;ALMERÍA;X; ;;;caridadbono;;;
